epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0278,3.37299,5.84592,0.01395,0.01535,0.1164,0.05438,0.0323,3.63027,4.233,0.01264,3.076e-05,3.076e-05,3.076e-05
2,6.1377,3.2609,5.65978,0.01246,0.00943,0.1164,0.04553,0.03148,3.40084,4.22234,0.00954,6.87532e-05,6.87532e-05,6.87532e-05
3,7.35439,3.07175,5.58748,0.0102,0.00472,0.11111,0.05073,0.041,3.39662,4.26778,0.00884,0.000106239,0.000106239,0.000106239
4,8.45299,3.07392,5.41285,0.00924,0.0027,0.11111,0.05504,0.04533,3.3814,4.28337,0.00813,0.000143217,0.000143217,0.000143217
5,9.51518,3.12157,5.26404,0.00856,0.00328,0.1164,0.06526,0.05623,3.27065,4.29831,0.00674,0.000179688,0.000179688,0.000179688
6,10.5615,3.11106,5.1952,0.0083,0.00321,0.1164,0.07279,0.06177,3.256,4.31398,0.00642,0.000215651,0.000215651,0.000215651
7,11.6479,3.10435,5.15392,0.00745,0.00291,0.1164,0.07917,0.06892,3.22818,4.30257,0.00568,0.000251106,0.000251106,0.000251106
8,12.7894,3.01695,4.93275,0.00745,0.00262,0.1164,0.07664,0.06501,3.2308,4.27862,0.0057,0.000286054,0.000286054,0.000286054
9,13.8361,2.98866,4.72806,0.007,0.00257,0.1164,0.08199,0.06592,3.18337,4.22212,0.00619,0.000320495,0.000320495,0.000320495
10,14.8714,2.92993,4.571,0.00676,0.00234,0.1164,0.07275,0.06203,3.07925,4.16588,0.00576,0.000354427,0.000354427,0.000354427
11,15.9286,2.87504,4.33761,0.00659,0.00289,0.1164,0.04817,0.04037,2.96492,4.06652,0.00577,0.000387853,0.000387853,0.000387853
12,16.9703,2.76436,4.21492,0.00645,0.9118,0.05622,0.05024,0.04106,2.91099,4.01421,0.00582,0.000420771,0.000420771,0.000420771
13,17.9969,2.72847,4.07206,0.00588,0.92009,0.05263,0.06674,0.05057,2.78638,3.88795,0.00525,0.000453181,0.000453181,0.000453181
14,19.1276,2.77615,3.84003,0.00581,0.9271,0.07602,0.09456,0.06339,2.74413,3.74319,0.00578,0.000485084,0.000485084,0.000485084
15,20.1864,2.69229,3.73249,0.00615,0.89149,0.10497,0.10612,0.07538,2.76337,3.62392,0.00603,0.000516479,0.000516479,0.000516479
16,21.2191,2.69355,3.52628,0.00614,0.00901,0.22751,0.12971,0.09034,2.63884,3.44293,0.00535,0.000547367,0.000547367,0.000547367
17,22.2657,2.68148,3.26644,0.0055,0.01241,0.3164,0.16651,0.10115,2.58012,3.16449,0.00466,0.000577747,0.000577747,0.000577747
18,23.2738,2.65691,3.00023,0.00532,0.01668,0.43783,0.19921,0.10742,2.55685,3.00599,0.0046,0.000607619,0.000607619,0.000607619
19,24.3152,2.5963,2.98103,0.00547,0.86779,0.1154,0.25011,0.12412,2.54141,2.60656,0.00447,0.000636984,0.000636984,0.000636984
20,25.4747,2.64549,3.01416,0.00607,0.82904,0.14825,0.28088,0.12926,2.60398,2.37224,0.00505,0.000665842,0.000665842,0.000665842
21,26.4885,2.65926,2.7402,0.00526,0.58107,0.18333,0.3076,0.1335,2.62135,2.20842,0.00526,0.000667492,0.000667492,0.000667492
22,27.5529,2.53587,2.67387,0.00551,0.52132,0.22001,0.32996,0.1402,2.57532,2.06192,0.00502,0.000662417,0.000662417,0.000662417
23,28.5878,2.59481,2.56737,0.00525,0.39374,0.32651,0.32904,0.14496,2.56487,1.80827,0.00517,0.000657341,0.000657341,0.000657341
24,29.6041,2.47383,2.53693,0.00537,0.29578,0.38605,0.33966,0.15076,2.55349,1.7631,0.00482,0.000652266,0.000652266,0.000652266
25,30.7317,2.45408,2.43751,0.00515,0.33644,0.40341,0.35444,0.15396,2.52118,1.69879,0.00448,0.00064719,0.00064719,0.00064719
26,31.7578,2.50182,2.42818,0.00505,0.33487,0.42641,0.3689,0.1581,2.52749,1.66546,0.00459,0.000642115,0.000642115,0.000642115
27,32.7865,2.37794,2.46148,0.00503,0.36579,0.43883,0.36995,0.15483,2.55025,1.64869,0.00451,0.00063704,0.00063704,0.00063704
28,33.832,2.38723,2.37816,0.00523,0.34765,0.45404,0.39214,0.16592,2.49612,1.61164,0.00439,0.000631964,0.000631964,0.000631964
29,34.8756,2.5225,2.24399,0.00491,0.33463,0.50481,0.3975,0.16528,2.503,1.62068,0.00438,0.000626889,0.000626889,0.000626889
30,35.9079,2.37139,2.27486,0.00511,0.34911,0.52628,0.40063,0.16887,2.48931,1.6059,0.00436,0.000621813,0.000621813,0.000621813
31,37.0039,2.40438,2.1229,0.00478,0.35878,0.55809,0.38649,0.14844,2.65341,1.60779,0.00554,0.000616738,0.000616738,0.000616738
32,38.2573,2.35844,2.29593,0.0057,0.36726,0.56623,0.37979,0.15192,2.65722,1.60952,0.0054,0.000611663,0.000611663,0.000611663
33,39.4037,2.41685,2.27824,0.0047,0.39133,0.62037,0.43218,0.17449,2.56106,1.55117,0.00481,0.000606587,0.000606587,0.000606587
34,40.7127,2.36424,2.2101,0.00492,0.40262,0.63447,0.45233,0.18388,2.50431,1.49511,0.0045,0.000601512,0.000601512,0.000601512
35,41.9614,2.35085,2.11285,0.00457,0.40246,0.59085,0.4565,0.17558,2.54021,1.42888,0.00493,0.000596436,0.000596436,0.000596436
36,43.2185,2.36486,1.98257,0.00442,0.40607,0.54183,0.45616,0.16812,2.57603,1.44494,0.00481,0.000591361,0.000591361,0.000591361
37,44.4517,2.35863,2.10101,0.00485,0.39265,0.61757,0.44162,0.1711,2.54377,1.43236,0.0046,0.000586286,0.000586286,0.000586286
38,45.5563,2.26839,2.10647,0.0048,0.40327,0.61868,0.46069,0.18189,2.51595,1.3691,0.0048,0.00058121,0.00058121,0.00058121
39,46.7039,2.37883,1.95648,0.0046,0.42147,0.58736,0.47773,0.18298,2.53014,1.31662,0.00522,0.000576135,0.000576135,0.000576135
40,47.8026,2.28431,1.91927,0.00459,0.42918,0.60282,0.49898,0.19341,2.43445,1.2847,0.0046,0.000571059,0.000571059,0.000571059
